"id","en","cnTitle","currentName"
"sastasha","Sastasha","逆转要害沙斯塔夏溶洞","天然要害沙斯塔夏溶洞"
"tamtara_deepcroft","The Tam-Tara Deepcroft","地下灵殿塔姆·塔拉墓园","地下靈殿塔姆‧塔拉墓園"
"copperbell_mines","Copperbell Mines","封锁坑道铜铃铜山","封鎖坑道銅鈴銅山"
"halatali","Halatali","魔兽领域日影地修炼所","魔獸領域日影地修練所"
"thousand_maws_of_totorak","The Thousand Maws of Toto-Rak","监狱废墟托托·拉克千狱","監獄廢墟托托‧拉克千獄"
"haukke_manor","Haukke Manor","名门府邸静语庄园","名門府邸靜語莊園"
"brayfloxs_longstop","Brayflox's Longstop","休养胜地布雷福洛克斯野营地","休養勝地布雷福洛克斯野營地"
"sunken_temple_of_qarn","The Sunken Temple of Qarn","古代遗迹喀恩埋没圣堂","古代遺跡喀恩埋沒聖堂"
"cutters_cry","Cutter's Cry","流沙迷宫樵鸣洞","流沙迷宮樵鳴洞"
"stone_vigil","The Stone Vigil","对龙城塞石卫塔","對龍城塞石衛塔"
"dzemael_darkhold","Dzemael Darkhold","山中战线泽梅尔要塞","山中戰線澤梅爾要塞"
"aurum_vale","The Aurum Vale","毒雾洞窟黄金谷","毒霧洞窟黃金谷"
"amdapor_keep","Amdapor Keep","邪教驻地无限城古堡","腐壞遺跡無限城市街古跡"
"snowcloak","Snowcloak","凛冽洞天披雪大冰壁","凜冽洞天披雪大冰壁"
"keeper_of_the_lake","The Keeper of the Lake","幻龙残骸密约之塔","幻龍殘骸密約之塔"
"wanderers_palace","The Wanderer's Palace","神灵圣域放浪神古神殿","流浪者皇宮"
"lost_city_of_amdapor","The Lost City of Amdapor","神圣遗迹无限城市街古迹","安達普爾失落之都"
"hullbreaker_isle","Hullbreaker Isle","黑涡传说破舰岛","海盜旅店破船島"
"pharos_sirius","Pharos Sirius","地脉灵灯天狼星灯塔","海蛇神統領海域天狼星燈塔"
"castrum_meridianum","Castrum Meridianum","神兵要塞帝国南方堡","神兵要塞帝國南方堡 - 終焉之劍 阿爾忒馬武器"
"praetorium","The Praetorium","最终决战天幕魔导城","最終決戰天幕魔導城 - 馬克 II 魔導機甲"
"porta_decumana","Porta Decumana","究极神兵破坏作战","邊緣禁區 - 究極神兵"
"aery","The Aery","邪龙王座龙巢神殿","邪龍領域尼德霍格之巢"
"dusk_vigil","The Dusk Vigil","冰雪废堡暮卫塔","黃昏哨塔"
"vault","The Vault","圣教中枢伊修加德教皇厅","伊修加爾德教皇廳天穹宮"
"great_gubal_library","The Great Gubal Library","学识宝库迦巴勒幻想图书馆","巨大書庫古巴爾大圖書館"
"antitower","The Antitower","星海空间颠倒塔","鏡像反塔"
"aetherochemical_research_facility","The Aetherochemical Research Facility","血战苍穹魔科学研究所","以太化學研究所"
"fractal_continuum","The Fractal Continuum","疯狂战舰无限回廊","次元邊境遺跡"
"neverreap","Neverreap","空中神域不获岛","永不收穫永世田"
"sohm_al","Sohm Al","天山绝顶索姆阿尔灵峰","索姆阿爾大山"
"sohr_khai","Sohr Khai","天龙宫殿忆罪宫","索爾凱龍洞"
"xelphatol","Xelphatol","险峻峡谷塞尔法特尔溪谷","凶蜥兵營薩烏塞爾巴塔"
"saint_mociannes_arboretum","Saint Mocianne's Arboretum","草木庭园圣茉夏娜植物园","聖莫西安植物園"
"weeping_city_of_mhach","The Weeping City of Mhach","禁忌城邦玛哈","慟哭之都姆哈奇"
"baelsars_wall","Baelsar's Wall","坚牢铁壁巴埃萨长城","伊修加爾德解放戰線基姆利特暗黑地"
"doma_castle","Doma Castle","解放决战多玛王城","多瑪城"
"temple_of_the_fist","The Temple of the Fist","修行古刹星导寺","雙拳大廟"
"sirensong_sea","The Sirensong Sea","漂流海域妖歌海","海妖之歌"
"bardams_mettle","Bardam's Mettle","试炼行路巴儿达木霸道","巴爾達姆試煉場"
"swallows_compass","The Swallow's Compass","风水灵庙岩燕庙","燕子方陣"
"ala_mhigo","Ala Mhigo","阿拉米格","阿拉米格王宮"
"castrum_abania","Castrum Abania","巨炮要塞帝国白山堡","魔導要塞阿巴尼亞"
"burn","The Burn","热舞绿光","焚毀之家"
"ghimlyt_dark","The Ghimlyt Dark","基姆利特","基姆利特暗黑地"
"drowned_city_of_skalla","The Drowned City of Skalla","沉没神殿斯卡拉遗迹","沉沒神殿斯卡拉遺蹟"
"hells_lid","Hells' Lid","红玉火山狱之盖","紅玉火山獄之蓋"
"kugane_castle","Kugane Castle","恶党孤城黄金阁","惡黨孤城黃金閣"
"dohn_mheg","Dohn Mheg","水妖幻园多恩美格禁园","頓魅鎮"
"holminster_switch","Holminster Switch","遇袭集落水滩村","霍爾敏斯特轉乘站"
"mt_gulg","Mt. Gulg","伪造天界格鲁格火山","高格山"
"amaurot","Amaurot","亚马乌罗提","亞馬羅特"
"heroes_gauntlet","The Heroes' Gauntlet","暗影决战诺弗兰特","勇者試煉"
